step,reward,health,wealth,happiness,age
1,0.5648,60.0,58.3,61.5,28
2,0.6027,60.0,58.7,63.8,52
3,0.6002,60.0,58.8,61.2,49
4,0.5887,58.7,61.3,66.3,39
5,0.6099,60.0,61.5,64.0,44
6,0.6159,60.0,58.3,60.0,49
7,0.5896,60.0,60.0,61.5,42
8,0.5818,60.0,60.0,60.0,42
9,0.5754,60.0,58.1,61.5,30
10,0.5884,58.7,60.0,60.0,46
11,0.6060,60.0,62.5,61.3,47
12,0.5875,58.9,60.5,61.5,30
13,0.5899,60.0,62.5,60.0,32
14,0.5957,60.0,58.8,64.8,49
15,0.5727,59.2,63.8,59.0,29
16,0.5745,60.0,60.4,64.2,31
17,0.5972,60.0,62.1,65.1,34
18,0.6126,62.5,64.9,62.6,38
19,0.5594,59.0,60.0,60.0,25
20,0.5841,60.0,62.5,61.3,32
21,0.5868,60.4,57.5,65.2,35
22,0.6048,60.0,58.7,61.5,47
23,0.5720,60.0,56.2,61.3,29
24,0.5941,60.0,58.7,62.5,48
25,0.5952,57.5,61.5,63.9,42
26,0.5585,60.0,60.0,60.0,25
27,0.5844,62.3,61.7,60.0,38
28,0.5633,61.9,59.8,61.5,29
29,0.5906,58.7,60.9,65.2,43
30,0.6209,62.8,64.3,62.6,46
31,0.5530,59.2,61.0,62.5,39
32,0.5994,60.3,58.1,63.9,42
32,—,—,—,—,—
